# dataset: cifar10
# methods: sensitivity, uniform
# num_epochs: 10
# coreset_size: 1024
# initial_sample_size: 256
# num_experiments: 50
# timestamp: 20250701_145947
seed,method,dataset,initial_val_acc,final_val_acc,test_acc,val_improvement,initial_steps,final_steps,total_budget,initial_samples,final_samples
123456,sensitivity,cifar10,25.44,40.18,40.18,14.739999999999998,2560,10240,1024,256,1024
1123456,sensitivity,cifar10,26.8,40.02,40.28,13.220000000000002,2560,10240,1024,256,1024
2123456,sensitivity,cifar10,26.66,38.79,40.28,12.129999999999999,2560,10240,1024,256,1024
3123456,sensitivity,cifar10,28.28,37.81,37.17,9.530000000000001,2560,10240,1024,256,1024
4123456,sensitivity,cifar10,28.04,38.4,39.16,10.36,2560,10240,1024,256,1024
5123456,sensitivity,cifar10,28.43,39.56,40.1,11.130000000000003,2560,10240,1024,256,1024
6123456,sensitivity,cifar10,27.01,38.36,38.94,11.349999999999998,2560,10240,1024,256,1024
7123456,sensitivity,cifar10,29.25,41.26,42.32,12.009999999999998,2560,10240,1024,256,1024
8123456,sensitivity,cifar10,27.83,38.72,38.51,10.89,2560,10240,1024,256,1024
9123456,sensitivity,cifar10,29.12,40.23,40.79,11.109999999999996,2560,10240,1024,256,1024
10123456,sensitivity,cifar10,25.59,37.19,38.52,11.599999999999998,2560,10240,1024,256,1024
11123456,sensitivity,cifar10,30.16,42.09,41.91,11.930000000000003,2560,10240,1024,256,1024
12123456,sensitivity,cifar10,24.42,38.28,39.23,13.86,2560,10240,1024,256,1024
13123456,sensitivity,cifar10,28.47,39.43,40.19,10.96,2560,10240,1024,256,1024
14123456,sensitivity,cifar10,27.39,37.8,38.94,10.409999999999997,2560,10240,1024,256,1024
15123456,sensitivity,cifar10,27.7,35.98,36.63,8.279999999999998,2560,10240,1024,256,1024
16123456,sensitivity,cifar10,29.79,38.21,39.06,8.420000000000002,2560,10240,1024,256,1024
17123456,sensitivity,cifar10,26.2,40.33,39.69,14.129999999999999,2560,10240,1024,256,1024
18123456,sensitivity,cifar10,28.14,38.54,38.91,10.399999999999999,2560,10240,1024,256,1024
19123456,sensitivity,cifar10,28.96,38.49,38.49,9.530000000000001,2560,10240,1024,256,1024
20123456,sensitivity,cifar10,26.79,40.92,41.97,14.130000000000003,2560,10240,1024,256,1024
21123456,sensitivity,cifar10,28.4,38.25,39.66,9.850000000000001,2560,10240,1024,256,1024
22123456,sensitivity,cifar10,27.98,37.98,38.62,9.999999999999996,2560,10240,1024,256,1024
23123456,sensitivity,cifar10,21.71,40.65,40.51,18.939999999999998,2560,10240,1024,256,1024
24123456,sensitivity,cifar10,28.64,38.23,37.94,9.589999999999996,2560,10240,1024,256,1024
25123456,sensitivity,cifar10,24.2,42.14,43.2,17.94,2560,10240,1024,256,1024
26123456,sensitivity,cifar10,23.02,37.64,38.25,14.620000000000001,2560,10240,1024,256,1024
27123456,sensitivity,cifar10,25.72,39.52,41.14,13.800000000000004,2560,10240,1024,256,1024
28123456,sensitivity,cifar10,28.54,38.96,38.43,10.420000000000002,2560,10240,1024,256,1024
29123456,sensitivity,cifar10,29.16,40.78,40.84,11.620000000000001,2560,10240,1024,256,1024
30123456,sensitivity,cifar10,29.78,38.7,39.07,8.920000000000002,2560,10240,1024,256,1024
31123456,sensitivity,cifar10,28.04,38.36,39.41,10.32,2560,10240,1024,256,1024
32123456,sensitivity,cifar10,27.69,40.59,40.32,12.900000000000002,2560,10240,1024,256,1024
33123456,sensitivity,cifar10,25.56,37.19,37.52,11.629999999999999,2560,10240,1024,256,1024
34123456,sensitivity,cifar10,28.65,40.11,41.27,11.46,2560,10240,1024,256,1024
35123456,sensitivity,cifar10,24.0,35.93,36.33,11.93,2560,10240,1024,256,1024
36123456,sensitivity,cifar10,31.9,38.72,38.54,6.82,2560,10240,1024,256,1024
37123456,sensitivity,cifar10,27.6,40.44,40.78,12.839999999999996,2560,10240,1024,256,1024
38123456,sensitivity,cifar10,28.31,38.74,39.22,10.430000000000003,2560,10240,1024,256,1024
39123456,sensitivity,cifar10,26.56,36.67,37.15,10.110000000000003,2560,10240,1024,256,1024
40123456,sensitivity,cifar10,27.49,39.04,39.17,11.55,2560,10240,1024,256,1024
41123456,sensitivity,cifar10,29.9,40.82,41.26,10.920000000000002,2560,10240,1024,256,1024
42123456,sensitivity,cifar10,26.96,40.13,39.44,13.170000000000002,2560,10240,1024,256,1024
43123456,sensitivity,cifar10,30.25,39.02,39.44,8.770000000000003,2560,10240,1024,256,1024
44123456,sensitivity,cifar10,30.02,40.68,40.52,10.66,2560,10240,1024,256,1024
45123456,sensitivity,cifar10,27.95,36.8,35.9,8.849999999999998,2560,10240,1024,256,1024
46123456,sensitivity,cifar10,26.35,39.79,39.71,13.439999999999998,2560,10240,1024,256,1024
47123456,sensitivity,cifar10,30.29,38.54,38.92,8.25,2560,10240,1024,256,1024
48123456,sensitivity,cifar10,27.58,39.54,39.68,11.96,2560,10240,1024,256,1024
49123456,sensitivity,cifar10,25.29,38.74,39.1,13.450000000000003,2560,10240,1024,256,1024
123456,uniform,cifar10,25.86,36.2,38.06,10.340000000000003,2560,10240,1024,256,1024
1123456,uniform,cifar10,26.25,39.63,39.43,13.380000000000003,2560,10240,1024,256,1024
2123456,uniform,cifar10,27.23,38.33,39.04,11.099999999999998,2560,10240,1024,256,1024
3123456,uniform,cifar10,28.51,39.63,39.85,11.120000000000001,2560,10240,1024,256,1024
4123456,uniform,cifar10,27.78,36.88,37.86,9.100000000000001,2560,10240,1024,256,1024
5123456,uniform,cifar10,28.79,40.38,40.55,11.590000000000003,2560,10240,1024,256,1024
6123456,uniform,cifar10,27.37,36.96,38.0,9.59,2560,10240,1024,256,1024
7123456,uniform,cifar10,29.8,41.13,41.39,11.330000000000002,2560,10240,1024,256,1024
8123456,uniform,cifar10,28.0,39.1,39.33,11.100000000000001,2560,10240,1024,256,1024
9123456,uniform,cifar10,29.63,40.93,42.15,11.3,2560,10240,1024,256,1024
10123456,uniform,cifar10,26.23,41.83,40.73,15.599999999999998,2560,10240,1024,256,1024
11123456,uniform,cifar10,29.91,39.62,40.29,9.709999999999997,2560,10240,1024,256,1024
12123456,uniform,cifar10,23.94,39.5,38.74,15.559999999999999,2560,10240,1024,256,1024
13123456,uniform,cifar10,28.3,40.37,40.29,12.069999999999997,2560,10240,1024,256,1024
14123456,uniform,cifar10,28.0,39.97,39.91,11.969999999999999,2560,10240,1024,256,1024
15123456,uniform,cifar10,27.7,40.12,40.89,12.419999999999998,2560,10240,1024,256,1024
16123456,uniform,cifar10,29.73,40.13,41.12,10.400000000000002,2560,10240,1024,256,1024
17123456,uniform,cifar10,26.5,39.1,39.48,12.600000000000001,2560,10240,1024,256,1024
18123456,uniform,cifar10,27.91,38.0,38.43,10.09,2560,10240,1024,256,1024
19123456,uniform,cifar10,29.26,37.49,37.56,8.23,2560,10240,1024,256,1024
20123456,uniform,cifar10,27.13,36.33,36.6,9.2,2560,10240,1024,256,1024
21123456,uniform,cifar10,27.98,38.52,39.56,10.540000000000003,2560,10240,1024,256,1024
22123456,uniform,cifar10,28.32,39.88,39.8,11.560000000000002,2560,10240,1024,256,1024
23123456,uniform,cifar10,23.11,40.67,41.32,17.560000000000002,2560,10240,1024,256,1024
24123456,uniform,cifar10,29.07,38.49,39.0,9.420000000000002,2560,10240,1024,256,1024
25123456,uniform,cifar10,24.28,41.13,40.74,16.85,2560,10240,1024,256,1024
26123456,uniform,cifar10,23.72,39.47,40.04,15.75,2560,10240,1024,256,1024
27123456,uniform,cifar10,24.55,35.95,37.32,11.400000000000002,2560,10240,1024,256,1024
