# dataset: mnist
# methods: sensitivity, uniform
# num_epochs: 10
# coreset_size: 1024
# initial_sample_size: 256
# num_experiments: 10
# timestamp: 20250701_101444
seed,method,initial_val_acc,final_val_acc,test_acc,val_improvement,initial_steps,final_steps,total_budget,initial_samples,final_samples
123456,sensitivity,86.325,94.98333333333333,95.3,8.658333333333331,2560,10240,1024,256,1024
1123456,sensitivity,85.575,94.39166666666667,94.5,8.816666666666663,2560,10240,1024,256,1024
2123456,sensitivity,89.95833333333333,95.3,95.6,5.341666666666669,2560,10240,1024,256,1024
3123456,sensitivity,87.98333333333333,94.46666666666667,94.76,6.483333333333334,2560,10240,1024,256,1024
4123456,sensitivity,87.23333333333333,95.61666666666666,95.68,8.383333333333326,2560,10240,1024,256,1024
5123456,sensitivity,86.66666666666667,95.29166666666667,95.68,8.625,2560,10240,1024,256,1024
6123456,sensitivity,84.04166666666667,95.76666666666667,95.95,11.724999999999994,2560,10240,1024,256,1024
7123456,sensitivity,86.25,93.56666666666666,93.75,7.316666666666663,2560,10240,1024,256,1024
8123456,sensitivity,84.54166666666667,95.075,95.58,10.533333333333331,2560,10240,1024,256,1024
9123456,sensitivity,85.34166666666667,94.41666666666667,95.01,9.075000000000003,2560,10240,1024,256,1024
123456,uniform,86.325,94.35,95.18,8.024999999999991,2560,10240,1024,256,1024
1123456,uniform,85.575,94.475,94.75,8.899999999999991,2560,10240,1024,256,1024
2123456,uniform,89.95833333333333,95.075,95.4,5.116666666666674,2560,10240,1024,256,1024
3123456,uniform,87.98333333333333,94.15833333333333,94.83,6.174999999999997,2560,10240,1024,256,1024
4123456,uniform,87.23333333333333,93.78333333333333,93.97,6.549999999999997,2560,10240,1024,256,1024
5123456,uniform,86.66666666666667,94.21666666666667,94.68,7.549999999999997,2560,10240,1024,256,1024
6123456,uniform,84.04166666666667,94.425,94.84,10.383333333333326,2560,10240,1024,256,1024
7123456,uniform,86.25,94.6,94.65,8.349999999999994,2560,10240,1024,256,1024
8123456,uniform,84.54166666666667,93.56666666666666,93.82,9.024999999999991,2560,10240,1024,256,1024
9123456,uniform,85.34166666666667,94.98333333333333,95.14,9.641666666666666,2560,10240,1024,256,1024
